E:\PhD\4-Transfer-Learning\codes\Transfer-Learning-Library\DAN-Alexnet.py:48: UserWarning: You have chosen to seed training. This will turn on the CUDNN deterministic setting, which can slow down your training considerably! You may see unexpected behavior when restarting from checkpoints.
  warnings.warn('You have chosen to seed training. '
=> using model 'AlexNet'
D:\miniconda3\envs\Tlib\lib\site-packages\torchvision-0.13.1-py3.10-win-amd64.egg\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
D:\miniconda3\envs\Tlib\lib\site-packages\torchvision-0.13.1-py3.10-win-amd64.egg\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=AlexNet_Weights.IMAGENET1K_V1`. You can also use `weights=AlexNet_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Epoch 0: Learning Rate for backbone: 0.001; Learning Rates for task heads: 0.01
E:\PhD\4-Transfer-Learning\codes\Transfer-Learning-Library\DAN-Alexnet.py:243: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  entropy_min_loss = entropy(F.softmax(yt), reduction='mean')
Test: [15/25]	Time  0.343 ( 0.320)	Loss 1.1941e+00 (1.9099e+00)	Acc@1  75.00 ( 55.27)
Test: [16/25]	Time  0.317 ( 0.320)	Loss 1.6633e+00 (1.8954e+00)	Acc@1  59.38 ( 55.51)
Test: [17/25]	Time  0.323 ( 0.320)	Loss 1.9250e+00 (1.8971e+00)	Acc@1  53.12 ( 55.38)
Test: [18/25]	Time  0.318 ( 0.320)	Loss 2.3076e+00 (1.9187e+00)	Acc@1  53.12 ( 55.26)
Test: [19/25]	Time  0.324 ( 0.320)	Loss 2.0293e+00 (1.9242e+00)	Acc@1  43.75 ( 54.69)
Test: [20/25]	Time  0.290 ( 0.319)	Loss 2.4574e+00 (1.9496e+00)	Acc@1  56.25 ( 54.76)
Test: [21/25]	Time  0.334 ( 0.319)	Loss 2.0981e+00 (1.9563e+00)	Acc@1  46.88 ( 54.40)
Test: [22/25]	Time  0.301 ( 0.319)	Loss 2.7541e+00 (1.9910e+00)	Acc@1  46.88 ( 54.08)
Test: [23/25]	Time  0.334 ( 0.319)	Loss 2.7105e+00 (2.0210e+00)	Acc@1  46.88 ( 53.78)
Test: [24/25]	Time  0.267 ( 0.317)	Loss 1.6172e+00 (2.0073e+00)	Acc@1  62.96 ( 54.09)
 * Acc@1 54.088
Epoch 1: Learning Rate for backbone: 0.000737787946466881; Learning Rates for task heads: 0.007377879464668811
Epoch: [1][ 0/88]	Total Loss 1.7091 (1.7091)	Source 1.1998 (1.1998)	Entropy 1.5565 (1.5565)	MMD 0.3537 (0.3537)	Cls Acc 62.50 (62.50)
Epoch: [1][ 1/88]	Total Loss 1.5420 (1.6256)	Source 1.1244 (1.1621)	Entropy 1.4867 (1.5216)	MMD 0.2689 (0.3113)	Cls Acc 68.75 (65.62)
Epoch: [1][ 2/88]	Total Loss 2.2181 (1.8231)	Source 1.4574 (1.2605)	Entropy 1.1614 (1.4015)	MMD 0.6445 (0.4224)	Cls Acc 43.75 (58.33)
Epoch: [1][ 3/88]	Total Loss 2.2398 (1.9273)	Source 1.0526 (1.2086)	Entropy 1.6315 (1.4590)	MMD 1.0240 (0.5728)	Cls Acc 68.75 (60.94)
Epoch: [1][ 4/88]	Total Loss 2.3516 (2.0121)	Source 1.6249 (1.2918)	Entropy 1.3269 (1.4326)	MMD 0.5940 (0.5770)	Cls Acc 43.75 (57.50)
Epoch: [1][ 5/88]	Total Loss 2.0613 (2.0203)	Source 1.1284 (1.2646)	Entropy 1.6789 (1.4736)	MMD 0.7650 (0.6084)	Cls Acc 71.88 (59.90)
Epoch: [1][ 6/88]	Total Loss 1.3555 (1.9253)	Source 1.1815 (1.2527)	Entropy 1.6227 (1.4949)	MMD 0.0118 (0.5231)	Cls Acc 62.50 (60.27)
Epoch: [1][ 7/88]	Total Loss 1.3292 (1.8508)	Source 1.1030 (1.2340)	Entropy 1.7376 (1.5253)	MMD 0.0524 (0.4643)	Cls Acc 75.00 (62.11)
Epoch: [1][ 8/88]	Total Loss 2.1007 (1.8786)	Source 1.5038 (1.2640)	Entropy 1.4848 (1.5208)	MMD 0.4483 (0.4625)	Cls Acc 65.62 (62.50)
Epoch: [1][ 9/88]	Total Loss 1.3143 (1.8222)	Source 1.0084 (1.2384)	Entropy 1.4953 (1.5182)	MMD 0.1564 (0.4319)	Cls Acc 75.00 (63.75)
Epoch: [1][10/88]	Total Loss 2.0698 (1.8447)	Source 1.3334 (1.2471)	Entropy 1.4627 (1.5132)	MMD 0.5902 (0.4463)	Cls Acc 50.00 (62.50)
Epoch: [1][11/88]	Total Loss 1.9887 (1.8567)	Source 1.4798 (1.2665)	Entropy 1.4866 (1.5110)	MMD 0.3602 (0.4391)	Cls Acc 65.62 (62.76)
Epoch: [1][12/88]	Total Loss 2.4993 (1.9061)	Source 1.4842 (1.2832)	Entropy 1.5360 (1.5129)	MMD 0.8615 (0.4716)	Cls Acc 53.12 (62.02)
Epoch: [1][13/88]	Total Loss 2.1289 (1.9220)	Source 1.5096 (1.2994)	Entropy 1.4879 (1.5111)	MMD 0.4704 (0.4715)	Cls Acc 62.50 (62.05)
Epoch: [1][14/88]	Total Loss 2.0774 (1.9324)	Source 1.3445 (1.3024)	Entropy 1.2660 (1.4948)	MMD 0.6064 (0.4805)	Cls Acc 62.50 (62.08)
Epoch: [1][15/88]	Total Loss 1.6214 (1.9129)	Source 0.8158 (1.2720)	Entropy 1.5308 (1.4970)	MMD 0.6525 (0.4913)	Cls Acc 78.12 (63.09)
Epoch: [1][16/88]	Total Loss 1.3922 (1.8823)	Source 1.0072 (1.2564)	Entropy 1.4840 (1.4963)	MMD 0.2367 (0.4763)	Cls Acc 71.88 (63.60)
